date,close
2026-02-03,90.06
2026-02-04,82.46
2026-02-05,74.65
2026-02-06,89.95
2026-02-09,96.79
2026-02-10,95.11
2026-02-11,95.15
2026-02-12,95.7
2026-02-13,96.04
2026-02-17,91.0
2026-02-18,95.45
2026-02-19,97.14
2026-02-20,89.25
2026-02-23,90.84
2026-02-24,99.3
2026-02-25,98.01
2026-02-26,97.63
2026-02-27,79.56
2026-03-02,78.05
2026-03-03,73.78
2026-03-04,79.5
2026-03-05,74.82
2026-03-06,72.99
2026-03-09,74.41
2026-03-10,74.92
2026-03-11,81.96
2026-03-12,79.86
2026-03-13,81.11
2026-03-16,85.86
2026-03-17,82.12
2026-03-18,82.82
2026-03-19,80.66
2026-03-20,81.47
2026-03-23,81.96
2026-03-24,83.02
2026-03-25,87.58
2026-03-26,80.45
2026-03-27,74.81
2026-03-30,69.15
2026-03-31,77.47
2026-04-01,78.44
2026-04-02,82.24
2026-04-06,80.94
2026-04-07,85.24
2026-04-08,88.9
2026-04-09,92.0
2026-04-10,102.0
2026-04-13,110.27
2026-04-14,117.2
2026-04-15,118.69
2026-04-16,119.56
2026-04-17,116.85
2026-04-20,117.43
2026-04-21,115.16
2026-04-22,122.54
2026-04-23,117.42
2026-04-24,110.14
2026-04-27,112.06
2026-04-28,105.53
2026-04-29,114.19
2026-04-30,111.6
2026-05-01,119.01
2026-05-04,125.43
2026-05-05,127.89
2026-05-06,137.98
2026-05-07,128.84
2026-05-08,114.15
2026-05-11,114.7
2026-05-12,107.75
2026-05-13,111.31
2026-05-14,114.21
2026-05-15,107.3
2026-05-18,103.77
2026-05-19,99.81
2026-05-20,101.28
2026-05-21,107.58
2026-05-22,105.49
2026-05-26,105.89
2026-05-27,104.27
2026-05-28,106.86
2026-05-29,109.53
2026-06-01,124.82
2026-06-02,119.27
2026-06-03,110.93
2026-06-04,108.03
2026-06-05,100.39
2026-06-08,102.37
2026-06-09,98.45
2026-06-10,95.61
2026-06-11,95.74
2026-06-12,100.55
2026-06-15,106.71
2026-06-16,117.03
2026-06-17,115.21
2026-06-18,117.95
2026-06-22,111.29
2026-06-23,105.72
2026-06-24,100.88
2026-06-25,98.76
2026-06-26,96.58
2026-06-29,95.51
2026-06-30,99.54
2026-07-01,85.68
2026-07-02,81.75
2026-07-06,86.46
2026-07-07,83.53
2026-07-08,90.0
2026-07-09,89.7
2026-07-10,88.88
2026-07-13,83.31
2026-07-14,79.94
2026-07-15,77.12
2026-07-16,72.91
2026-07-17,73.21
2026-07-20,73.06
2026-07-21,79.58
2026-07-22,82.64
2026-07-23,81.1
2026-07-24,71.88
2026-07-27,70.79
