record_id,symbol,event_id,fiscal_period,record_type,status,expected_date,occurred_date,session_timing,source_type,source_url,known_as_of_utc,checked_at_utc,supersedes,notes
A0019,NOW,NOW-8K-2020-04-29,,assertion,occurred,,2020-04-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000098/,2020-04-29T20:11:48+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0020,NOW,NOW-8K-2020-07-28,,assertion,occurred,,2020-07-28,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000189/,2020-07-29T20:56:37+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0021,NOW,NOW-8K-2020-10-26,,assertion,occurred,,2020-10-26,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371520000255/,2020-10-28T20:13:43+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0022,NOW,NOW-8K-2021-01-27,,assertion,occurred,,2021-01-27,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000008/,2021-01-27T21:13:41+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0023,NOW,NOW-8K-2021-04-28,,assertion,occurred,,2021-04-28,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000111/,2021-04-28T20:16:18+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0024,NOW,NOW-8K-2021-07-28,,assertion,occurred,,2021-07-28,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000200/,2021-07-28T20:14:49+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0025,NOW,NOW-8K-2021-10-26,,assertion,occurred,,2021-10-26,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000288/,2021-10-27T20:11:12+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0026,NOW,NOW-8K-2022-01-25,,assertion,occurred,,2022-01-25,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000006/,2022-01-26T21:11:42+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0027,NOW,NOW-8K-2022-04-27,,assertion,occurred,,2022-04-27,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000132/,2022-04-27T20:11:26+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0028,NOW,NOW-8K-2022-07-25,,assertion,occurred,,2022-07-25,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000239/,2022-07-27T20:12:00+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0029,NOW,NOW-8K-2022-10-23,,assertion,occurred,,2022-10-23,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000329/,2022-10-26T20:11:10+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0030,NOW,NOW-8K-2023-01-24,,assertion,occurred,,2023-01-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000016/,2023-01-25T21:13:10+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0031,NOW,NOW-8K-2023-04-24,,assertion,occurred,,2023-04-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000162/,2023-04-26T20:11:35+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0032,NOW,NOW-8K-2023-07-26,,assertion,occurred,,2023-07-26,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000323/,2023-07-26T20:11:12+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0033,NOW,NOW-8K-2023-10-25,,assertion,occurred,,2023-10-25,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371523000417/,2023-10-25T20:11:28+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0034,NOW,NOW-8K-2024-01-24,,assertion,occurred,,2024-01-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000009/,2024-01-24T21:11:38+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0035,NOW,NOW-8K-2024-04-24,,assertion,occurred,,2024-04-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000163/,2024-04-24T20:11:12+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0036,NOW,NOW-8K-2024-07-24,,assertion,occurred,,2024-07-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000269/,2024-07-24T20:15:05+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0037,NOW,NOW-8K-2024-10-21,,assertion,occurred,,2024-10-21,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371524000342/,2024-10-23T20:11:14+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0038,NOW,NOW-8K-2025-01-29,,assertion,occurred,,2025-01-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000007/,2025-01-29T21:13:29+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0039,NOW,NOW-8K-2025-04-21,,assertion,occurred,,2025-04-21,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000124/,2025-04-23T20:11:30+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0040,NOW,NOW-8K-2025-07-23,,assertion,occurred,,2025-07-23,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000274/,2025-07-23T20:11:17+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0041,NOW,NOW-8K-2025-10-29,,assertion,occurred,,2025-10-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371525000305/,2025-10-29T20:11:33+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0042,NOW,NOW-8K-2026-01-28,,assertion,occurred,,2026-01-28,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000005/,2026-01-28T21:11:25+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0043,NOW,NOW-8K-2026-04-17,,assertion,occurred,,2026-04-17,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371526000054/,2026-04-22T20:49:29+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0044,NVDA,NVDA-8K-2018-02-08,,assertion,occurred,,2018-02-08,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000004/,2018-02-08T21:23:23+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0045,NVDA,NVDA-8K-2018-05-10,,assertion,occurred,,2018-05-10,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000052/,2018-05-10T20:25:11+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0046,NVDA,NVDA-8K-2018-08-16,,assertion,occurred,,2018-08-16,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000113/,2018-08-16T20:20:21+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0047,NVDA,NVDA-8K-2018-11-15,,assertion,occurred,,2018-11-15,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000148/,2018-11-15T21:21:48+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0048,NVDA,NVDA-8K-2019-01-28,,assertion,occurred,,2019-01-28,bmo,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000004/,2019-01-28T14:04:54+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0049,NVDA,NVDA-8K-2019-02-14,,assertion,occurred,,2019-02-14,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000007/,2019-02-14T21:23:06+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0050,NVDA,NVDA-8K-2019-05-16,,assertion,occurred,,2019-05-16,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000077/,2019-05-16T20:22:47+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0051,NVDA,NVDA-8K-2019-08-15,,assertion,occurred,,2019-08-15,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000140/,2019-08-15T20:27:50+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0052,NVDA,NVDA-8K-2019-11-14,,assertion,occurred,,2019-11-14,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000168/,2019-11-14T21:21:53+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
